,Amitabh Bachchan,Madhuri Dixit,Gulshan Grover,Rekha,Hrithik Roshan,Kajol,Dharmendra,Sridevi,Juhi Chawla,Hema Malini,Sanjay Dutt,Kareena Kapoor,Karisma Kapoor,Preity G Zinta,Jackie Shroff,Salman Khan,Twinkle Khanna,Tabu,Shakti Kapoor,Urmila Matondkar,Nana Patekar,Sonali Bendre,Fardeen Khan,Aftab Shivdasani,Tinnu Anand,Raj Babbar,Aruna Irani,Abhishek Bachchan,Mohnish Behl,Manoj Bajpayee,Bipasha Basu,Jaya Bachchan,Bhagyashree Patwardhan,Jaspal Bhatti,Rahul Bose,Mithun Chakraborty,Mahima Chaudhry,Bhoomika Chawla,Randhir Kapoor,Nandita Das,Danny Denzongpa,Bobby Deol,Esha Deol,Sunny Deol,Mukul Dev,Rahul Dev,Prabhu Deva,Ajay Devgn,Poonam Dhillon,Avtar Gill,Vikram Gokhale,Govinda,Milind Gunaji,Kamal Haasan,Vrajesh Hirjee,Randeep Hooda,Jaaved Jaaferi,Farida Jalal,Jaya Prada,Jeetendra,Sharman Joshi,Kader Khan,Dimple Kapadia,Anil Kapoor,Annu Kapoor,Rajat Kapoor,Rishi Kapoor,Supriya Karnik,Kunal Kemmu,Aamir Khan,Arbaaz Khan,Arshad Warsi,Feroz Khan,Irrfan Khan,Saif Ali Khan,Shah Rukh Khan,Sohail Khan,Akshaye Khanna,Mukesh Khanna,Vinod Khanna,Kulbhushan Kharbanda,Sachin Khedekar,Anupam Kher,Manisha Koirala,Isha Koppikar,Atul Kulkarni,Akshay Kumar,Johny Lever,Madhavan,Pawan Malhotra,Sanjay Mishra,Rani Mukerji,Govind Namdeo,Nassar,Neelam Kothari,Manoj Pahwa,Chunky Pandey,Ameesha Patel,Vinay Pathak,Prakash Raj,Amrish Puri,Om Puri,Vijay Raaz,Aishwarya Rai Bachchan,Rajinikanth,Paresh Rawal,Fatima Sana Shaikh,Raima Sen,Sushmita Sen,Naseeruddin Shah,Farooq Shaikh,Kim Sharma,Rajesh Sharma,Jimmy Shergill,Shilpa Shetty Kundra,Suniel Shetty,Saurabh Shukla,Chandrachur Singh,Neetu Singh,Raveena Tandon,Mukesh Tiwari,Ashish Vidyarthi,Gracy Singh,Tusshar Kapoor,Arjun Rampal,Aashish Chaudhary,Yashpal Sharma,Alia Bhatt,Farhan Akhtar,Rajpal Naurang Yadav,Vivek Oberoi,Lara Dutta,Dia Mirza,Riya Sen,Amrita Arora,Aarti Chhabria,Amrita Rao,Sameera Reddy,Boman Irani,Neha Dhupia,Katrina Kaif,Priyanka Chopra Jonas,Konkona Sen Sharma,Koena Mitra,Ranvir Shorey,Manoj Joshi,Rimi Sen,Samir Soni,Uday Tikekar,Sunny Leone,Riteish Deshmukh,Genelia Deshmukh,Zayed Khan,John Abraham,Mallika Sherawat,Shriya Saran,Shahid Kapoor,Celina Jaitly,Sonu Sood,Imran Khan,Emraan Hashmi,Vipin Sharma,Gul Panag,Iqbal Khan,Nayanthara,Raju Srivastava,Kunal Kapoor,Nawazuddin Siddiqui,Shruti Haasan,Ranbir Kapoor,Karishma Tanna,Prabhas,Shreyas Talpade,Soha Ali Khan,Chitrangda Singh,Neil Nitin Mukesh,Ayesha Takia,Vidya Balan,Ashwini Kalsekar,Arjun Kapoor,Asin Thottumkal,Upendra Limaye,Sneha Ullal,Vatsal Sheth,Sophiya Chaudhary,Abhay Deol,Tanushree Dutta,Nimrat Kaur,Kay Kay Menon,Tamannaah Bhatia,Manjari Fadnnis,Minissha Lamba,Sonam Kapoor,Deepika Padukone,Kangana Ranaut,Govardhan Asrani,Sunny Singh,Daisy Shah,Krishna Abhishek,Ileana D'Cruz,Radhika Apte,Aditi Rao Hydari,Nushrratt Bharuccha,Kajal Aggarwal,Jacqueline Fernandez,Pankaj Tripathi,Fawad Khan,Mahie Gill,Bruna Abdullah,Prateik Patil Babbar,Anushka Sharma,Adah Sharma,Aditya Roy Kapoor,Richa Chadha,Kalki Koechlin,Nivetha Thomas,Sidharth Malhotra,Varun Dhawan,Amy Jackson,Esha Gupta,Sudesh Lehri,Sana Khan,Shraddha Kapoor,Samantha Ruth Prabhu,Lisa Haydon,Nargis Fakhri,Kriti Kharbanda,Kainaat Arora,Zareen Khan,Tahir Raj Bhasin,Sushant Singh Rajput,Rajkummar Rao,Ranveer Singh,Sonakshi Sinha,Taapsee Pannu,Sunny Kaushal,Anil Charanjeett,Yami Gautam,Kartik Aaryan,Parineeti Chopra,Sonalee Kulkarni,Vidyut Jammwal,Mouni Roy,Saqib Saleem,Freddy Daruwala,Ayushmann Khurrana,Huma Qureshi,Pulkit Samrat,Lavanya Tripathi,Pooja Hegde,Kriti Sanon,Vikrant Massey,Rhea Chakraborty,Amyra Dastur,Vaani Kapoor,Vicky Kaushal,Urvashi Rautela,Tiger Shroff,Kapil Sharma,Bhumi Pednekar,Kiara Advani,Nora Fatehi,Shriya Pilgaonkar,Mrunal Thakur,Athiya Shetty,Sanya Malhotra,Alaya F,Disha Patani,Sobhita Dhulipala,Siddhant Chaturvedi,Mehreen Pirzada,Nidhhi Agerwal,Rashmika Mandanna,Sara Ali Khan,Janhvi Kapoor
Bipasha Basu,5,0,1,0,1,1,0,0,0,0,7,3,0,2,1,2,0,0,3,0,2,0,2,3,2,1,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,5,1,1,1,5,0,8,0,3,2,1,3,0,0,1,0,1,0,0,0,0,0,5,0,3,0,2,0,1,0,1,0,3,6,3,0,2,0,1,0,2,1,0,4,2,5,5,2,1,3,2,2,0,0,1,1,1,3,0,0,3,0,1,0,6,0,0,2,1,0,1,0,2,1,4,1,0,0,0,4,1,0,1,3,0,4,0,0,3,1,3,2,0,2,1,1,3,2,2,2,2,1,0,2,5,2,1,1,1,3,2,0,8,1,1,1,1,0,1,3,1,0,0,0,0,2,2,0,1,0,0,1,0,0,2,1,1,3,1,0,0,0,0,1,1,1,0,2,1,0,2,1,3,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaya Bachchan,16,0,2,1,2,2,6,0,0,2,0,2,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,5,0,1,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,3,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bhagyashree Patwardhan,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,3,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,1,1,2,1,2,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaspal Bhatti,0,0,1,0,0,1,0,1,0,0,3,0,1,0,2,2,0,1,3,1,2,1,0,2,2,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,3,1,0,1,1,2,0,0,0,1,0,1,1,0,2,2,3,3,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,1,2,0,1,4,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Bose,0,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,3,1,0,0,0,0,1,2,0,0,1,1,0,1,0,0,3,1,1,1,1,0,0,1,2,2,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,1,1,0,0,1,5,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mithun Chakraborty,7,5,35,8,0,1,15,4,5,8,7,1,0,1,12,5,1,0,80,0,1,3,1,1,13,10,34,1,6,0,0,0,0,0,1,0,1,0,1,0,18,1,0,3,0,1,2,2,7,24,6,4,2,0,2,2,1,3,8,6,0,43,6,2,2,0,5,1,2,0,0,2,0,0,1,1,4,0,4,0,6,3,16,1,1,0,7,31,1,1,9,0,6,1,4,3,7,1,1,1,28,6,2,1,2,11,0,2,2,6,1,0,2,0,0,1,2,0,1,0,6,6,0,2,2,0,1,0,0,3,0,1,1,2,2,0,1,1,4,0,1,1,1,0,1,2,0,0,0,0,4,0,1,3,2,1,0,1,1,1,1,1,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,1,2,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,33,0,0,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahima Chaudhry,1,1,5,3,0,1,0,0,1,2,4,1,0,1,2,2,0,2,3,3,0,1,1,0,1,2,0,3,3,1,0,0,0,1,0,1,0,2,0,0,1,0,1,1,0,1,0,5,0,4,0,1,1,0,1,0,0,2,0,0,1,1,0,2,2,0,1,1,0,0,0,2,0,3,1,1,0,1,1,0,2,5,5,1,1,0,2,3,0,1,1,1,3,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,1,0,1,1,1,1,4,2,3,0,3,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhoomika Chawla,3,0,2,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,8,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
Randhir Kapoor,3,1,0,12,0,0,2,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,1,2,0,3,1,3,1,1,0,0,9,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,2,0,0,0,4,2,0,0,0,0,2,1,0,1,2,1,0,0,1,3,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nandita Das,1,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Denzongpa,12,4,20,10,2,0,19,4,2,8,6,1,2,0,9,3,1,3,25,5,3,2,1,2,11,10,20,0,7,2,0,1,0,0,0,18,1,1,1,0,0,3,0,10,2,3,1,3,3,12,4,5,1,1,0,0,3,13,9,8,1,12,7,8,8,0,8,0,0,0,2,1,5,2,1,2,1,2,3,7,11,0,10,4,0,1,5,11,0,1,2,0,5,0,5,0,7,0,0,0,13,8,0,1,4,9,0,0,0,7,1,0,0,1,1,8,1,1,5,6,2,4,0,0,1,0,2,0,0,2,0,0,1,0,1,3,1,0,2,0,1,2,0,0,0,1,2,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bobby Deol,2,0,0,1,0,1,10,0,2,0,2,2,2,6,1,3,2,0,7,1,2,0,1,2,1,2,0,5,2,0,5,0,0,1,0,1,0,0,0,0,3,0,0,14,2,3,0,2,0,3,0,0,2,0,1,0,0,3,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0,2,1,2,1,2,1,2,5,4,5,1,0,0,7,12,0,0,3,3,2,0,0,2,2,3,0,1,2,3,0,2,0,2,0,0,1,0,0,0,2,0,3,4,1,0,1,0,4,6,0,1,3,0,1,0,0,2,0,5,1,1,1,1,1,0,1,0,1,5,0,0,0,0,1,0,0,0,3,0,0,2,2,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,2,0,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Esha Deol,0,0,2,0,1,0,1,0,0,1,3,2,0,0,2,2,0,0,0,0,0,0,5,3,0,2,0,4,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,7,0,2,1,2,3,0,2,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,2,0,2,1,1,2,1,0,2,2,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,1,1,0,1,1,0,0,1,5,1,0,0,1,2,2,0,4,0,0,1,0,0,2,3,3,3,1,0,1,1,2,2,0,0,0,0,1,0,1,1,0,0,0,2,0,5,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunny Deol,3,3,8,1,0,0,19,6,5,0,5,1,2,6,10,5,1,6,15,3,0,1,1,4,4,6,8,1,5,2,1,0,1,1,0,3,1,0,0,0,10,14,0,0,4,5,0,5,3,6,3,1,2,0,3,0,1,9,5,1,0,4,5,5,9,1,2,1,1,2,2,2,0,2,3,2,2,1,3,1,13,5,20,4,2,1,3,15,2,2,4,1,5,0,5,1,8,4,2,2,17,12,2,2,1,10,0,0,1,5,0,0,1,1,5,7,4,1,0,7,4,6,0,2,1,1,3,0,0,2,3,0,0,1,1,1,1,2,0,2,1,3,1,0,1,4,0,0,2,1,1,0,0,4,0,1,1,2,0,1,2,0,1,0,0,1,0,2,0,0,0,0,3,2,0,0,2,2,4,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mukul Dev,1,1,4,2,0,0,3,0,1,0,1,0,0,1,1,2,0,2,2,0,2,0,2,1,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,0,2,2,1,4,0,4,0,2,0,5,1,1,0,0,0,0,1,1,1,1,1,2,0,0,2,1,0,1,1,0,2,3,1,0,0,0,1,0,2,0,1,0,5,0,0,0,0,6,2,2,6,0,0,1,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,4,0,4,1,1,0,0,3,5,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rahul Dev,1,0,2,0,0,0,1,0,3,0,7,2,1,0,4,2,0,1,3,0,0,0,0,5,2,1,0,0,0,0,5,0,1,1,0,1,1,4,0,1,3,3,2,5,4,0,1,3,0,4,1,2,2,0,3,0,0,3,0,0,0,0,0,1,0,1,1,2,1,1,3,1,0,3,1,2,1,1,1,1,2,2,3,1,2,2,7,4,1,2,2,1,1,14,0,2,2,2,3,4,2,6,4,1,0,4,0,3,0,1,0,1,1,4,2,6,0,1,0,3,1,9,0,4,0,1,3,0,0,3,0,4,1,1,3,2,0,3,1,1,2,0,0,1,1,2,1,1,1,4,3,0,2,2,0,3,1,1,3,2,2,0,0,0,2,0,1,2,2,0,0,2,1,1,1,1,0,0,1,1,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,3,0,0,0,2,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,0,2,0,1,0,0,1,0,0,1,2,0,1,1,0,1,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Prabhu Deva,3,0,0,0,1,1,0,1,0,0,0,1,1,0,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,3,1,0,0,5,2,0,0,1,0,3,17,0,1,0,0,0,14,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,6,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajay Devgn,11,4,15,2,1,14,1,0,3,0,13,9,5,1,6,6,2,11,9,8,5,6,2,1,5,3,7,7,7,6,8,0,1,0,1,2,5,1,0,0,3,2,7,5,2,3,2,0,0,9,3,2,3,0,6,1,3,7,1,0,3,6,0,5,4,4,1,2,5,2,2,9,0,2,5,2,1,5,2,1,6,3,4,6,3,4,9,12,5,2,16,4,7,0,1,3,5,2,2,3,12,5,3,4,0,14,0,1,3,5,0,0,0,3,0,7,8,2,0,6,18,5,2,10,3,1,3,2,0,6,5,6,2,1,2,1,4,3,3,4,3,1,2,1,1,5,1,2,6,2,4,1,2,3,1,4,2,1,2,1,4,2,0,0,0,0,0,2,1,1,0,1,6,1,0,1,3,3,11,0,3,0,0,1,0,0,1,0,2,1,0,0,1,1,4,8,2,0,1,3,1,1,1,1,0,4,0,1,0,0,0,0,2,1,0,0,2,1,0,3,2,2,2,0,1,0,1,0,1,0,1,1,4,7,0,0,3,2,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0
Poonam Dhillon,4,2,5,3,0,0,7,5,0,5,3,0,0,0,6,0,0,0,20,1,1,0,0,0,0,10,5,0,0,0,0,1,0,1,0,7,0,0,3,0,3,0,0,3,0,0,1,0,0,7,0,2,0,3,1,0,0,1,1,8,0,9,2,6,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,6,0,0,0,1,3,1,0,0,1,1,1,1,0,1,0,0,0,10,2,0,0,4,5,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,9,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avtar Gill,16,2,31,6,0,1,10,4,5,5,16,2,9,1,17,11,5,3,33,2,2,7,3,2,15,8,11,3,15,1,3,0,1,0,1,24,4,0,3,0,12,3,2,6,5,4,0,9,7,0,6,14,3,0,8,1,3,11,5,3,1,22,10,5,7,1,5,4,4,3,1,0,0,2,7,4,1,2,6,5,18,4,33,5,2,0,15,24,0,5,6,4,6,1,3,0,6,2,0,1,11,15,1,2,1,27,0,0,1,11,3,3,0,3,5,16,3,3,3,12,9,12,3,2,3,0,8,0,1,10,0,2,3,3,1,2,0,0,0,3,1,2,0,1,0,1,1,1,1,1,2,0,1,4,0,1,0,2,1,0,3,1,0,0,0,2,0,1,0,0,1,0,3,2,1,1,1,0,2,0,0,1,1,0,2,0,0,1,0,0,0,2,0,0,2,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
