source,target,value
Madhuri Dixit,Manoj Joshi,1
Madhuri Dixit,Samir Soni,1
Madhuri Dixit,Riteish Deshmukh,1
Madhuri Dixit,Shahid Kapoor,1
Madhuri Dixit,Kunal Kapoor,1
Madhuri Dixit,Nawazuddin Siddiqui,1
Madhuri Dixit,Ranbir Kapoor,2
Madhuri Dixit,Deepika Padukone,1
Madhuri Dixit,Govardhan Asrani,7
Madhuri Dixit,Krishna Abhishek,1
Madhuri Dixit,Kajal Aggarwal,1
Madhuri Dixit,Jacqueline Fernandez,1
Madhuri Dixit,Aditya Roy Kapoor,2
Madhuri Dixit,Kalki Koechlin,1
Madhuri Dixit,Varun Dhawan,1
Madhuri Dixit,Esha Gupta,1
Madhuri Dixit,Sudesh Lehri,2
Madhuri Dixit,Shraddha Kapoor,1
Madhuri Dixit,Sonakshi Sinha,2
Madhuri Dixit,Huma Qureshi,1
Madhuri Dixit,Kriti Sanon,1
Madhuri Dixit,Tiger Shroff,1
Madhuri Dixit,Kiara Advani,1
Gulshan Grover,Rekha,10
Gulshan Grover,Kajol,1
Gulshan Grover,Dharmendra,15
Gulshan Grover,Sridevi,8
Gulshan Grover,Juhi Chawla,17
Gulshan Grover,Hema Malini,2
Gulshan Grover,Sanjay Dutt,32
Gulshan Grover,Kareena Kapoor,2
Gulshan Grover,Karisma Kapoor,11
Gulshan Grover,Jackie Shroff,38
Gulshan Grover,Salman Khan,4
Gulshan Grover,Twinkle Khanna,1
Gulshan Grover,Tabu,7
Gulshan Grover,Shakti Kapoor,85
Gulshan Grover,Urmila Matondkar,8
Gulshan Grover,Nana Patekar,1
Gulshan Grover,Sonali Bendre,7
Gulshan Grover,Fardeen Khan,2
Gulshan Grover,Aftab Shivdasani,6
Gulshan Grover,Tinnu Anand,16
Gulshan Grover,Raj Babbar,19
Gulshan Grover,Aruna Irani,40
Gulshan Grover,Abhishek Bachchan,2
Gulshan Grover,Mohnish Behl,15
Gulshan Grover,Manoj Bajpayee,2
Gulshan Grover,Bipasha Basu,1
Gulshan Grover,Jaya Bachchan,2
Gulshan Grover,Bhagyashree Patwardhan,4
Gulshan Grover,Jaspal Bhatti,1
Gulshan Grover,Rahul Bose,1
Gulshan Grover,Mithun Chakraborty,35
Gulshan Grover,Mahima Chaudhry,5
Gulshan Grover,Bhoomika Chawla,2
Gulshan Grover,Nandita Das,2
Gulshan Grover,Danny Denzongpa,20
Gulshan Grover,Esha Deol,2
Gulshan Grover,Sunny Deol,8
Gulshan Grover,Mukul Dev,4
Gulshan Grover,Rahul Dev,2
Gulshan Grover,Ajay Devgn,15
Gulshan Grover,Poonam Dhillon,5
Gulshan Grover,Avtar Gill,31
Gulshan Grover,Vikram Gokhale,8
Gulshan Grover,Govinda,33
Gulshan Grover,Milind Gunaji,4
Gulshan Grover,Kamal Haasan,3
Gulshan Grover,Vrajesh Hirjee,4
Gulshan Grover,Randeep Hooda,2
Gulshan Grover,Jaaved Jaaferi,7
Gulshan Grover,Farida Jalal,12
Gulshan Grover,Jaya Prada,9
Gulshan Grover,Jeetendra,13
Gulshan Grover,Sharman Joshi,1
Gulshan Grover,Kader Khan,53
Gulshan Grover,Dimple Kapadia,14
Gulshan Grover,Anil Kapoor,12
Gulshan Grover,Annu Kapoor,4
Gulshan Grover,Rajat Kapoor,1
Gulshan Grover,Rishi Kapoor,15
Gulshan Grover,Supriya Karnik,4
Gulshan Grover,Kunal Kemmu,3
Gulshan Grover,Aamir Khan,3
Gulshan Grover,Arbaaz Khan,4
Gulshan Grover,Arshad Warsi,3
Gulshan Grover,Feroz Khan,1
Gulshan Grover,Irrfan Khan,3
Gulshan Grover,Saif Ali Khan,5
Gulshan Grover,Shah Rukh Khan,3
Gulshan Grover,Akshaye Khanna,2
Gulshan Grover,Mukesh Khanna,15
Gulshan Grover,Vinod Khanna,8
Gulshan Grover,Kulbhushan Kharbanda,24
Gulshan Grover,Sachin Khedekar,4
Gulshan Grover,Anupam Kher,35
Gulshan Grover,Manisha Koirala,14
Gulshan Grover,Isha Koppikar,3
Gulshan Grover,Atul Kulkarni,2
Gulshan Grover,Akshay Kumar,17
Gulshan Grover,Johny Lever,31
Gulshan Grover,Madhavan,1
Gulshan Grover,Pawan Malhotra,1
Gulshan Grover,Sanjay Mishra,5
Gulshan Grover,Rani Mukerji,4
Gulshan Grover,Govind Namdeo,6
Gulshan Grover,Nassar,1
Gulshan Grover,Neelam Kothari,14
Gulshan Grover,Manoj Pahwa,2
Gulshan Grover,Chunky Pandey,19
Gulshan Grover,Ameesha Patel,6
Gulshan Grover,Vinay Pathak,1
Gulshan Grover,Prakash Raj,1
Gulshan Grover,Amrish Puri,31
Gulshan Grover,Om Puri,14
Gulshan Grover,Vijay Raaz,4
Gulshan Grover,Rajinikanth,3
Gulshan Grover,Paresh Rawal,31
Gulshan Grover,Raima Sen,2
Gulshan Grover,Sushmita Sen,3
Gulshan Grover,Naseeruddin Shah,17
Gulshan Grover,Kim Sharma,2
Gulshan Grover,Jimmy Shergill,8
Gulshan Grover,Shilpa Shetty Kundra,7
Gulshan Grover,Suniel Shetty,17
Gulshan Grover,Saurabh Shukla,5
Gulshan Grover,Chandrachur Singh,1
Gulshan Grover,Raveena Tandon,9
Gulshan Grover,Mukesh Tiwari,6
Gulshan Grover,Ashish Vidyarthi,7
Gulshan Grover,Gracy Singh,2
Gulshan Grover,Arjun Rampal,1
Gulshan Grover,Yashpal Sharma,4
Gulshan Grover,Alia Bhatt,1
Gulshan Grover,Rajpal Naurang Yadav,9
Gulshan Grover,Vivek Oberoi,1
Gulshan Grover,Lara Dutta,3
Gulshan Grover,Dia Mirza,3
Gulshan Grover,Riya Sen,2
Gulshan Grover,Amrita Arora,1
Gulshan Grover,Aarti Chhabria,3
Gulshan Grover,Amrita Rao,1
Gulshan Grover,Sameera Reddy,2
Gulshan Grover,Boman Irani,3
Gulshan Grover,Neha Dhupia,1
Gulshan Grover,Katrina Kaif,2
Gulshan Grover,Koena Mitra,2
Gulshan Grover,Ranvir Shorey,1
Gulshan Grover,Manoj Joshi,2
Gulshan Grover,Samir Soni,2
Gulshan Grover,Uday Tikekar,2
Gulshan Grover,Sunny Leone,1
Gulshan Grover,Genelia Deshmukh,1
Gulshan Grover,Zayed Khan,2
Gulshan Grover,John Abraham,3
Gulshan Grover,Mallika Sherawat,2
Gulshan Grover,Shriya Saran,2
Gulshan Grover,Shahid Kapoor,2
Gulshan Grover,Celina Jaitly,2
Gulshan Grover,Emraan Hashmi,3
Gulshan Grover,Vipin Sharma,2
Gulshan Grover,Iqbal Khan,2
Gulshan Grover,Raju Srivastava,1
Gulshan Grover,Kunal Kapoor,2
Gulshan Grover,Nawazuddin Siddiqui,1
Gulshan Grover,Shruti Haasan,1
Gulshan Grover,Shreyas Talpade,1
Gulshan Grover,Soha Ali Khan,1
Gulshan Grover,Neil Nitin Mukesh,2
Gulshan Grover,Ayesha Takia,4
Gulshan Grover,Ashwini Kalsekar,1
Gulshan Grover,Vatsal Sheth,1
Gulshan Grover,Kay Kay Menon,2
Gulshan Grover,Minissha Lamba,2
Gulshan Grover,Kangana Ranaut,2
Gulshan Grover,Govardhan Asrani,47
Gulshan Grover,Radhika Apte,1
Gulshan Grover,Kajal Aggarwal,2
Gulshan Grover,Mahie Gill,3
Gulshan Grover,Prateik Patil Babbar,1
Gulshan Grover,Aditya Roy Kapoor,1
Gulshan Grover,Richa Chadha,2
Gulshan Grover,Esha Gupta,1
Gulshan Grover,Rajkummar Rao,2
Gulshan Grover,Ranveer Singh,1
Gulshan Grover,Sonakshi Sinha,1
Gulshan Grover,Anil Charanjeett,1
Gulshan Grover,Vidyut Jammwal,1
Gulshan Grover,Mouni Roy,1
Gulshan Grover,Urvashi Rautela,1
Rekha,Hrithik Roshan,4
Rekha,Dharmendra,13
Rekha,Sridevi,2
Rekha,Hema Malini,9
Rekha,Sanjay Dutt,2
Rekha,Karisma Kapoor,1
Rekha,Preity G Zinta,4
Rekha,Jackie Shroff,3
Rekha,Salman Khan,2
Rekha,Shakti Kapoor,14
Rekha,Urmila Matondkar,3
Rekha,Nana Patekar,2
Rekha,Sonali Bendre,1
Rekha,Fardeen Khan,1
Rekha,Tinnu Anand,1
Rekha,Raj Babbar,13
Rekha,Aruna Irani,28
Rekha,Mohnish Behl,1
Rekha,Manoj Bajpayee,1
Rekha,Jaya Bachchan,1
Rekha,Mithun Chakraborty,8
Rekha,Mahima Chaudhry,3
Rekha,Randhir Kapoor,12
Rekha,Danny Denzongpa,10
Rekha,Bobby Deol,1
Rekha,Sunny Deol,1
Rekha,Mukul Dev,2
Rekha,Ajay Devgn,2
Rekha,Poonam Dhillon,3
Rekha,Avtar Gill,6
Rekha,Govinda,1
Rekha,Jaaved Jaaferi,1
Rekha,Farida Jalal,8
Rekha,Jaya Prada,2
Rekha,Jeetendra,37
Rekha,Sharman Joshi,2
Rekha,Kader Khan,15
Rekha,Dimple Kapadia,2
Rekha,Anil Kapoor,4
Rekha,Annu Kapoor,2
